apr,bug,tot_cluster,tot_patch,t_naive,t_uniapr,t_expapr
SampleTBar,Chart-17,3,26,178.94668197631836,46.714073824630354,7.610749081359477
SampleTBar,Chart-23,271,7044,155813.38034915924,8487.393099071218,1223.861617358421
SampleTBar,Chart-6,66,1133,22893.400396823883,1101.3792208624575,267.9520712875905
SampleTBar,Closure-12,239,10263,617927.7937161922,None,4541.458365941826
SampleTBar,Closure-56,250,10085,539908.4986698627,None,8759.811656283666
SampleTBar,Closure-92,673,9172,351184.58635759354,None,11832.278132878051
SampleTBar,Lang-15,376,9641,175878.7775104046,9767.24408048143,1986.5094008429664
SampleTBar,Lang-25,426,9422,127238.29315686226,9954.734440623972,1734.7389219904796
SampleTBar,Lang-34,367,9488,133954.47876095772,59716.87414578675,1737.5341773205814
SampleTBar,Lang-38,390,9535,120566.12196755409,10128.620393041912,1592.6414127121695
SampleTBar,Lang-50,18,1018,6644.642605066299,1038.5587042447607,124.73100805282593
SampleTBar,Lang-51,20,569,7529.782682418823,606.8517955282022,118.112788438797
SampleTBar,Math-22,2,2,105.61683750152588,None,4.024624764372669
SampleTBar,Math-38,7,44,1202.685719013214,65.20959324304091,50.405038595199585
SampleTBar,Math-41,7,178,7161.874417543411,3115.187443687359,36.00246064178134
SampleTBar,Math-43,21,525,24985.572019815445,611.3524329109191,96.34909344935222
SampleTBar,Math-51,176,9889,617777.5697517395,8699.403335431696,995.2922111795347
SampleTBar,Math-58,12,109,5239.921590566635,300.58353261449327,85.69951511040185
SampleTBar,Math-64,154,10409,245325.04556584358,10467.35450482831,1395.7293734381044
SampleTBar,Math-73,1,10002,210507.50958848,8179.937599124909,278.41418623924255
SampleTBar,Math-74,114,5628,119801.52210068703,5234.2426770085585,828.9834697374417
SampleTBar,Math-75,4,39,543.020280122757,57.97169613005512,19.428163663166693
SampleTBar,Mockito-17,5,56,998.827339887619,None,50.577952917811835
SampleTBar,Mockito-27,34,509,11440.986528635025,None,338.214827127176
SampleTBar,Mockito-34,70,1328,19007.022439956665,None,343.5485981952903
SampleTBar,Mockito-35,2,49,229.98407888412476,None,3.604687677676094
SampleTBar,Time-17,8,117,1240.1612737178802,124.73692487388901,54.45165771485358
SampleTBar,Time-24,428,10287,187708.10313677788,10547.957211940793,3538.649345269383
SampleTBar,Time-8,292,8983,108250.18384861946,8788.345754521037,1402.2763573872844
SampleSimFix,Chart-17,72,4344,27491.24002790451,5251.862387751845,464.3055078983307
SampleSimFix,Chart-23,116,9308,47924.25480365753,9371.971862633656,721.0918569564819
SampleSimFix,Chart-6,93,4489,20090.256128549576,3635.9028213712163,432.0144007205963
SampleSimFix,Closure-12,108,13802,568455.4246122837,None,2854.501631975174
SampleSimFix,Closure-56,110,7751,224018.18405914307,None,1273.3751498191755
SampleSimFix,Closure-92,120,13102,225372.14578461647,None,1165.2972284648627
SampleSimFix,Lang-15,135,5680,49221.119819164276,4588.01521987426,777.7522669638429
SampleSimFix,Lang-25,12,209,420.27356576919556,129.1943580535194,62.343021122290786
SampleSimFix,Lang-34,101,10871,88816.63470244408,41678.14765579377,827.945201140208
SampleSimFix,Lang-38,106,5752,20156.3173661232,6329.1674471888555,745.5925431251526
SampleSimFix,Lang-50,137,8638,30813.143557548523,8121.315180729599,1124.6486013394633
SampleSimFix,Lang-51,76,2960,14310.290345191956,2155.903281504455,377.5945494174957
SampleSimFix,Math-22,122,18022,433337.87489914894,17212.146224723736,1413.9800812049127
SampleSimFix,Math-38,130,15833,256199.25732398033,18565.33942261738,2061.2217632750317
SampleSimFix,Math-41,84,4289,50154.98646783829,8013.127364314097,516.2789837486948
SampleSimFix,Math-43,105,11008,185075.92558336258,11617.888167747566,911.9908883571625
SampleSimFix,Math-51,83,3218,121736.93505263329,4156.030485212212,620.6909561157227
SampleSimFix,Math-58,109,13045,179682.2302260399,17426.792475084654,2085.7633594106087
SampleSimFix,Math-64,203,28798,199838.1950378418,25378.11295606124,1468.5052251815796
SampleSimFix,Math-73,43,2794,14566.443345546722,1366.607493402067,1104.0273187336625
SampleSimFix,Math-74,98,8347,65811.65307068825,7790.891704881942,754.5996763355788
SampleSimFix,Math-75,53,980,5501.358597993851,976.4894975726562,243.5644478404217
SampleSimFix,Mockito-17,51,206,2561.7114012241364,None,128.89970898628235
SampleSimFix,Mockito-20,207,1728,116659.98638296127,None,5659.542188620216
SampleSimFix,Mockito-27,53,193,2929.2171754837036,None,174.94146197542335
SampleSimFix,Mockito-34,115,644,9907.14219379425,None,360.6542706489563
SampleSimFix,Mockito-35,87,1308,21056.206467866898,None,303.9657983779907
SampleSimFix,Time-17,122,6408,48429.35134148598,5757.095214708684,862.9705358193816
SampleSimFix,Time-24,116,6610,53532.45080733299,6812.273890964135,1072.3326938152313
SampleSimFix,Time-8,125,9305,83355.68376851082,8331.013391802742,1039.9570772647858
SampleHanabi,Chart-17,59,6415,32179.16364312172,4316.0264474654205,371.62487805628615
SampleHanabi,Chart-23,60,1766,22662.42122578621,1501.0535490042503,267.1373052597046
SampleHanabi,Chart-6,36,5351,20197.89834547043,1723.554802270246,354.83776828791156
SampleHanabi,Closure-12,22,481,57161.77678513527,None,224.0738227367401
SampleHanabi,Closure-56,4,36,3566.677710056305,None,14.247243881225586
SampleHanabi,Closure-92,9,186,10738.083709716797,None,155.59654712677002
SampleHanabi,Lang-15,65,5015,31397.015709877014,3418.7246718205192,548.9396452903748
SampleHanabi,Lang-34,8,349,3986.4448087215424,2006.7372986869811,63.01825666427612
SampleHanabi,Lang-38,28,4013,10350.15381526947,1585.2775874979884,171.23192954063416
SampleHanabi,Lang-50,15,1483,6897.07132434845,1571.9415275115966,132.4703767299652
SampleHanabi,Lang-51,24,4303,32412.427571058273,6213.219764998213,282.8734769821167
SampleHanabi,Math-22,10,584,32690.00782418251,631.4181266509003,85.81313920021057
SampleHanabi,Math-38,20,1242,40432.0192964077,1365.6658098220826,166.9381444454193
SampleHanabi,Math-41,19,1700,63587.50181746483,11136.507098947524,231.84542441368103
SampleHanabi,Math-43,37,5354,68520.91498160362,4819.8798146917925,227.08733773231506
SampleHanabi,Math-51,11,1065,63045.81698203087,1126.1709207374367,324.3738169670105
SampleHanabi,Math-58,13,1277,71798.04578733444,8671.447100317004,792.4836428165436
SampleHanabi,Math-64,3,207,2677.127304315567,113.75907776950274,4.371338129043579
SampleHanabi,Math-73,66,9429,97081.06501340866,10693.045245229992,718.9813244342804
SampleHanabi,Math-74,6,353,9781.421385765076,4172.906274776802,324.88887000083923
SampleHanabi,Math-75,9,987,8883.259587287903,931.8400397968293,59.51322102546692
SampleHanabi,Mockito-17,8,349,2856.8660242557526,None,39.56759333610535
SampleHanabi,Mockito-20,3,72,3844.3621456623077,None,12.285862445831299
SampleHanabi,Mockito-27,4,68,1093.4844801425934,None,10.221540689468384
SampleHanabi,Mockito-34,14,618,5860.266503810883,None,69.22348213195801
SampleHanabi,Mockito-35,3,94,1644.0392982959747,None,11.771926403045654
SampleHanabi,Time-17,46,8042,32196.66582798958,2416.977274139797,258.1837968826294
SampleHanabi,Time-24,35,5830,21472.393134593964,2501.7128048373297,409.87993264198303
SampleHanabi,Time-8,13,2097,33365.57899928093,2867.000806350407,126.62170767784119
